{{2,1,8,10,5,3,13,9,35,21,7,6,4,17,44,34,26,16,11,30,32,42,75,20,12,33,18,100,28,47,25,96,73,66,62,23,14,94,54,98,15,19,99,89,97,81,40,95,92,57,93,91,90,88,83,45,29,22,85,86,82,84,43,87,71,27,80,79,69,39,72,78,76,56,65,24,77,74,60,70,68,67,64,63,41,61,58,49,59,37,55,52,51,31,50,53,48,38,46,36},
{2,1,13,12,4,6,25,5,17,29,8,33,22,10,9,3,47,18,16,42,59,7,49,11,48,43,24,100,94,31,69,38,15,61,91,27,37,98,99,36,23,85,40,21,78,28,97,14,96,95,86,50,19,93,75,84,92,81,90,20,89,82,74,88,72,32,87,62,60,80,83,35,68,79,45,77,71,73,57,76,66,53,26,70,41,67,65,64,63,56,39,55,58,51,54,52,46,44,30,34},
{2,10,13,4,3,5,8,22,26,11,21,7,1,6,28,16,62,19,9,75,38,37,92,33,44,18,25,91,24,12,29,61,99,52,17,68,85,100,46,35,98,64,14,56,15,96,57,97,82,95,93,27,90,20,88,94,42,89,39,87,81,78,23,77,86,80,45,84,72,83,79,74,54,76,73,66,34,71,50,65,70,53,32,69,67,63,55,60,58,59,49,48,31,51,47,43,36,41,40,30},
{4,5,1,2,12,8,6,21,11,19,9,7,25,39,15,3,29,44,43,36,18,33,13,74,68,38,20,17,87,55,30,23,96,58,73,10,100,41,65,99,98,16,92,95,27,82,83,14,97,70,94,93,49,90,52,85,24,91,89,86,35,26,80,34,88,84,22,81,72,77,79,78,71,56,50,76,64,46,75,67,69,66,63,62,28,60,61,59,57,54,51,48,42,53,45,47,37,40,31,32},
{1,12,4,9,3,10,2,7,28,15,27,5,36,13,38,20,62,6,26,19,69,17,47,14,32,46,8,75,68,58,11,100,44,33,83,23,96,22,90,53,99,41,98,60,29,24,97,93,16,49,25,88,95,84,18,94,67,87,91,21,92,74,85,89,86,45,82,35,80,81,79,73,63,78,71,31,77,76,72,70,55,64,54,66,65,59,52,61,57,56,51,50,48,43,40,42,39,37,34,30},
{1,5,4,13,12,9,7,3,24,22,10,31,2,26,18,6,41,25,8,35,62,70,20,19,14,56,11,44,68,34,65,100,90,30,98,60,63,38,93,99,54,17,97,95,29,96,92,94,15,88,52,43,49,83,87,86,16,36,39,89,77,91,74,51,85,81,84,64,28,80,58,82,79,75,21,78,76,73,67,37,72,71,69,66,61,57,50,23,59,47,42,55,53,27,48,46,33,45,40,32},
{6,3,8,1,9,34,15,2,12,20,5,33,7,4,27,30,28,22,46,19,17,43,14,67,56,11,68,18,63,95,37,13,49,10,100,89,99,79,32,71,31,98,50,84,16,97,96,93,62,45,94,26,39,91,90,86,87,80,92,85,59,88,78,69,24,83,77,76,82,81,47,42,74,73,64,75,23,70,36,72,61,66,21,35,65,57,29,60,54,58,55,53,52,41,48,51,25,40,38,44},
{2,1,6,3,4,14,5,28,16,8,25,10,37,23,12,27,19,21,7,62,73,15,42,95,18,54,100,40,11,36,17,9,99,78,13,94,87,61,24,98,86,47,91,68,85,97,60,50,93,74,32,96,22,33,92,64,56,90,84,30,89,80,20,88,67,45,83,43,82,77,81,79,71,31,69,57,76,75,70,63,65,72,58,35,66,39,59,53,55,52,48,44,51,26,49,46,41,38,29,34},
{5,1,7,11,3,27,9,4,29,15,33,36,16,8,2,18,14,17,58,71,25,22,12,82,79,41,63,10,97,31,13,6,92,40,24,100,73,67,23,49,99,52,47,95,94,21,19,91,98,93,74,96,35,90,89,20,84,81,88,87,28,86,66,48,83,38,77,55,85,80,44,26,70,78,64,76,69,75,34,72,68,61,65,60,62,57,54,59,43,32,56,51,53,50,46,42,39,37,45,30},
{1,5,3,12,10,17,14,8,2,45,7,25,6,15,4,36,24,31,13,68,49,39,11,53,90,23,19,30,22,78,70,99,89,62,9,97,35,87,46,74,51,18,100,16,95,56,33,29,94,98,77,88,64,96,44,83,92,26,61,48,21,93,86,82,91,76,85,37,84,80,71,81,73,79,20,65,72,63,28,55,59,58,69,75,50,60,67,34,54,43,42,66,57,52,47,38,41,32,27,40},
{1,4,11,2,5,9,17,3,8,14,20,7,36,43,6,54,31,24,13,33,27,80,15,78,30,10,99,66,29,60,57,18,95,61,50,100,76,28,94,23,19,69,85,46,98,16,97,49,96,22,12,40,93,92,26,71,91,90,87,83,48,89,88,21,86,82,55,37,84,81,73,45,72,65,35,34,79,77,68,75,74,58,63,41,70,67,25,51,64,56,62,59,52,47,53,44,42,38,39,32},
{2,1,7,4,5,12,17,3,29,13,15,8,27,10,23,11,61,56,40,37,18,73,57,32,55,6,79,25,45,42,31,24,38,93,9,99,28,72,41,98,100,16,91,95,14,30,97,82,22,96,94,92,87,65,60,90,21,80,34,89,49,88,86,19,84,20,51,85,78,69,83,64,76,70,33,26,81,77,74,71,75,46,68,67,59,48,66,44,63,54,58,36,62,53,52,50,47,43,39,35},
{3,1,13,7,16,2,5,6,12,4,26,24,19,8,15,36,50,32,17,40,61,28,10,68,39,9,35,25,76,38,97,95,21,23,11,100,46,75,20,99,96,52,94,85,18,98,70,91,14,27,89,22,93,92,86,63,90,73,82,59,81,74,88,55,87,34,65,83,51,42,84,80,31,72,60,79,48,78,77,67,66,71,69,57,54,64,45,62,47,58,53,30,49,56,44,43,37,41,33,29},
{1,5,12,9,3,23,2,13,7,22,16,47,30,41,39,40,8,58,6,67,57,4,21,20,79,52,18,17,34,37,48,94,11,87,24,77,10,100,75,84,99,19,15,32,97,71,14,96,61,91,98,56,93,36,90,35,50,95,28,86,74,92,89,33,29,70,85,64,81,88,83,60,69,82,78,26,80,76,25,68,73,54,45,66,72,63,65,62,27,55,59,43,51,53,49,46,44,42,31,38},
{1,15,2,10,7,5,4,21,3,14,25,9,36,47,17,8,12,16,59,35,71,31,67,30,6,13,84,45,42,24,100,23,92,50,33,22,65,11,99,98,19,79,91,41,64,97,20,96,54,95,53,27,94,88,29,86,89,57,93,44,28,70,90,87,85,18,77,83,80,51,82,63,78,73,32,81,69,76,74,72,68,62,75,66,61,43,60,26,58,56,40,55,52,49,38,46,48,39,34,37},
{1,2,3,19,14,5,6,11,8,4,27,7,24,40,13,26,21,71,9,49,17,15,74,38,12,10,77,66,54,48,45,20,100,97,81,32,98,61,30,96,99,44,25,93,16,68,95,94,42,28,85,92,90,91,80,22,89,47,76,88,58,87,86,70,84,18,75,55,36,83,82,73,52,78,79,62,72,67,69,31,64,34,60,59,65,56,23,57,46,63,53,39,51,43,50,41,29,37,35,33},
