{{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,11,26,43,75,108,180,279,387,557,799,1065,1382,1777,2272,2800,3410,3998,4649,5267,5883,6460,7092,7600,8098,8503,8814,9071,9312,9483,9639,9741,9819,9866,9910,9942,9958,9969,9982,9986,9990,9996,9997,9999,9999,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000},
{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,27,46,89,144,215,344,561,824,1161,1582,2115,2735,3460,4263,5016,5837,6619,7441,8208,8913,9635,10306,10985,11692,12444,13125,13891,14669,15427,16143,16793,17390,17935,18400,18803,19126,19361,19527,19686,19769,19833,19885,19925,19952,19965,19984,19991,19996,19997,19997,19998,19999,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000},
{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,13,31,57,113,213,381,624,961,1405,1968,2665,3464,4293,5201,6179,7073,7992,8899,9812,10667,11595,12501,13405,14382,15371,16368,17338,18210,19099,19948,20756,21589,22365,23133,24002,24845,25660,26393,27112,27693,28205,28624,28986,29271,29471,29626,29756,29826,29880,29926,29960,29979,29985,29991,29994,29997,29998,29999,29999,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000},
{0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,9,20,40,75,155,290,529,845,1303,1900,2656,3479,4447,5431,6471,7524,8538,9561,10525,11543,12588,13671,14820,15943,17095,18193,19249,20332,21356,22414,23538,24606,25714,26790,27787,28748,29633,30535,31421,32294,33188,34083,35000,35779,36557,37240,37831,38339,38775,39107,39368,39544,39686,39799,39875,39924,39954,39971,39983,39989,39993,39997,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000},
{0,0,0,0,0,0,0,0,0,0,0,1,4,7,11,20,43,87,171,309,554,936,1456,2140,3001,3946,5024,6184,7322,8415,9508,10653,11782,12968,14186,15448,16757,17952,19157,20357,21598,22744,23972,25235,26489,27783,28928,30071,31206,32355,33463,34695,35817,36930,37969,38908,39916,40850,41750,42740,43660,44614,45446,46278,47040,47717,48247,48730,49073,49332,49557,49704,49822,49882,49922,49957,49976,49988,49993,49997,49998,49999,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000},
{0,0,0,0,0,0,0,0,0,0,1,2,5,14,35,72,148,296,542,921,1488,2222,3120,4133,5264,6494,7687,8893,10116,11322,12622,13925,15332,16703,18040,19425,20747,22037,23380,24763,26138,27548,28903,30131,31422,32765,34114,35507,36851,38094,39305,40576,41755,42974,44198,45421,46552,47702,48697,49747,50687,51672,52643,53660,54624,55532,56378,57137,57771,58329,58791,59177,59436,59645,59784,59864,59913,59956,59980,59987,59993,59996,59997,59999,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000},
{0,0,0,0,0,0,0,0,0,0,1,6,18,44,105,218,408,746,1312,2047,2968,4018,5245,6440,7745,9063,10276,11585,12985,14464,15955,17425,18918,20366,21799,23218,24688,26194,27758,29163,30593,32020,33515,35035,36482,37930,39307,40723,42154,43586,44927,46416,47715,49011,50240,51505,52752,54038,55242,56507,57676,58790,59819,60793,61835,62849,63855,64882,65783,66672,67438,68052,68570,68984,69340,69570,69725,69837,69900,69944,69969,69984,69990,69995,69996,69999,69999,69999,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000},
{0,0,0,0,0,0,0,0,0,1,8,31,73,126,286,593,1034,1654,2536,3635,4907,6204,7516,8883,10239,11645,13098,14648,16229,17776,19293,20818,22383,23958,25622,27224,28736,30295,31918,33460,35066,36709,38315,39841,41377,42894,44481,46074,47600,49073,50481,52016,53466,54951,56350,57739,59062,60352,61714,63020,64314,65576,66861,68108,69171,70267,71312,72359,73355,74337,75340,76247,77105,77809,78410,78904,79259,79512,79688,79805,79873,79926,79958,79977,79987,79992,79995,79998,79999,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000},
{0,0,0,0,0,0,0,1,2,8,23,68,163,328,691,1256,2059,3092,4304,5644,7045,8433,9839,11355,12833,14447,16027,17684,19303,20878,22550,24279,26011,27683,29413,31107,32826,34529,36239,37920,39574,41235,42939,44622,46306,47948,49532,51108,52756,54445,56086,57671,59171,60707,62210,63728,65270,66650,68131,69521,70899,72269,73561,74916,76260,77469,78705,79844,80974,82028,83007,84036,85036,86032,86905,87687,88300,88827,89218,89497,89677,89791,89873,89920,89965,89979,89986,89993,89999,89999,89999,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000},
{0,0,0,0,0,0,1,3,6,25,72,177,408,799,1453,2339,3536,4874,6273,7761,9216,10689,12213,13894,15667,17334,19014,20779,22449,24213,26038,27903,29666,31429,33245,35074,36887,38703,40452,42210,44040,45886,47599,49333,51047,52860,54608,56373,58098,59842,61501,63095,64732,66459,68169,69775,71275,72808,74316,75904,77413,78873,80282,81687,83097,84424,85762,87106,88396,89534,90631,91714,92754,93821,94917,95900,96823,97653,98315,98832,99211,99498,99672,99804,99894,99931,99957,99980,99987,99995,99998,99998,99999,100000,100000,100000,100000,100000,100000,100000,100000},
{0,0,0,0,0,0,3,9,25,70,172,404,855,1526,2553,3794,5270,6759,8316,9809,11345,13029,14789,16660,18439,20173,21952,23843,25753,27647,29476,31361,33324,35208,37179,39011,40899,42759,44660,46602,48564,50465,52329,54174,55969,57839,59625,61487,63316,65145,66973,68675,70379,72082,73891,75576,77228,78936,80534,82110,83739,85338,86900,88404,89883,91299,92689,94107,95549,96948,98204,99341,100496,101637,102762,103835,104947,105952,106905,107675,108359,108902,109267,109531,109688,109815,109901,109941,109968,109983,109992,109994,109999,110000,110000,110000,110000,110000,110000,110000,110000},
{0,0,0,0,1,2,5,20,58,150,390,837,1557,2600,3964,5526,7117,8737,10393,12012,13732,15637,17512,19293,21148,23118,25070,27117,29119,31022,32990,35020,37005,39010,41036,42995,44939,46922,48953,50916,52981,54973,56915,58852,60705,62648,64704,66585,68464,70381,72275,74146,76018,77760,79527,81304,83097,84842,86673,88364,90020,91702,93326,94955,96568,98149,99577,101003,102413,103935,105457,106834,108081,109351,110518,111688,112833,113935,115106,116143,117127,117899,118502,118998,119356,119565,119732,119849,119916,119954,119975,119988,119995,119998,119999,119999,120000,120000,120000,120000,120000},
{0,0,0,0,2,4,13,43,135,332,770,1517,2623,4039,5644,7323,9025,10678,12481,14329,16234,18204,20136,22067,24076,26171,28164,30266,32365,34424,36531,38665,40733,42796,44874,46914,49018,51097,53183,55276,57331,59406,61476,63466,65532,67576,69551,71619,73612,75569,77523,79473,81380,83320,85219,87117,88925,90813,92656,94462,96238,97975,99729,101381,103062,104733,106382,107997,109510,110982,112465,114037,115516,116911,118264,119502,120716,121825,123028,124236,125375,126416,127332,128087,128722,129142,129477,129668,129813,129895,129942,129967,129982,129993,129997,129997,129999,129999,130000,130000,130000},
